,title,pubdate,Latitude,Longitude
98,Experimental device Hemopurifier from @Aethlon_Medical was used to help treat an #Ebola patient who survived http://t.co/CmjQ8ZzL9l,11/12/2014 23:06:01,-4.2312575009128635,22.84212484609695
99,Good perspective on how to think about treatment:Out of Africa — Caring for Patients with #Ebola http://t.co/ClDzhnEM7q,11/12/2014 23:05:34,-5.924927995234386,23.24870723016449
100,"RT @NHPRExchange: Tmrw: NH #Ebola protocol w/ @JoseTMontero. Also, @emerrens, @BrighamWomens Dr. Baden, @pattywight. http://t.co/ozhWXc74XA…",11/12/2014 23:05:19,-5.764951760191374,20.318879708027914
101,Programming &amp; Web Solutions http://t.co/RRAH0RqsaD #ebola http://t.co/hNun1EAbub,11/12/2014 23:05:18,-5.181035220497542,20.212014692963955
102,Nice report on Partners in Health doctor fighting #Ebola in Sierra Leone on .@NBCNightlyNews. Great org. that could use your #support .@PIH,11/12/2014 23:05:17,-5.327516283968265,20.3739422960136
103,"RT @usatodayhealth: Hospital will pay Duncan\'s medical bills, set up charity http://t.co/4lfQ2Z3Wv2 via @USATODAY #ebola",11/12/2014 23:05:15,-4.763188688586755,20.013920741252512
104,WHO reports 3 more #Ebola cases in #Mali http://t.co/a0rDhlW2Vo,11/12/2014 23:05:08,-4.600873270209941,21.423008738790948
105,RT @amaausmed: .@amapresident has urged Govt to consider deploying AUSMAT teams to join fight against #Ebola in west Africa https://t.co/bU…,11/12/2014 23:04:44,-3.3538503501856143,20.602516828959946
106,RT @WhySharksMatter: Hey everyone who was reading #OutbreakChat tweets? You now have #ebola . SURPRISE!,11/12/2014 23:04:40,-3.876624852491886,18.619319904576578
107,"RT @DavidQuammen: @sethmnookin @stevesilberman Thanks, Seth, Steve. Glad to report Ivory Coast calm, sane, so far #Ebola-free. But a story …",11/12/2014 23:04:38,-3.7163467245893482,20.136926425216
108,"RT @ConservativeGi3: \""@SunNewsNetwork: Injectionless #Ebola vaccine successful in monkeys http://t.co/ZhvG5PhRSL\"",""RT @ConservativeGi3: \""@SunNewsNetwork: Injectionless #Ebola vaccine successful in monkeys http://t.co/ZhvG5PhRSL\"",""Twitter for Android",11/12/2014 23:04:13,-5.199126159475812,20.138670360608412
109,#Ebola #EbolaOutbreak Thomas Eric Duncan\'s Family Reaches \'Resolution\' With Dallas Hospital In Ebola Case http://t.co/DIcWjWOUBf,11/12/2014 23:03:54,-3.487824976570223,22.999538568502512
110,RT @LukeRussert: #USA media needs 2 b more concerned w 22 vets committing suicide a day &amp; vet unemployment rate than #Ebola or #MH370 http:…,11/12/2014 23:03:51,-4.065198164283227,18.27538230789811
111,"UK is building six #ebola facilities in Sierra Leone. First run by Save the Children, second by Aspen Medical with up to $20m Aust funding.",11/12/2014 23:03:45,-3.7393880789947813,23.342152829721236
112,"Texas: Ebola Victim’s Family to Be Paid by Hospital, via @nytimes .it can\'t being back #ThomasEricDuncan back. #Ebola http://t.co/YBBQAUu5Et",11/12/2014 23:03:33,-4.956931422992921,21.771944409846586
113,RT @EmergencyMgtMag: 5 lessons in crisis communications from the #Ebola response: http://t.co/FgmYLo0BTt,11/12/2014 23:03:32,-3.242790369485005,25.712106401397126
114,RT @WhySharksMatter: Hey everyone who was reading #OutbreakChat tweets? You now have #ebola . SURPRISE!,11/12/2014 23:03:31,-5.8688816017306555,21.989690327080215
115,RT @LukeRussert: #USA media needs 2 b more concerned w 22 vets committing suicide a day &amp; vet unemployment rate than #Ebola or #MH370 http:…,11/12/2014 23:03:28,-8.886241779264964,23.944424787940434
116,RT @CIDRAP: Senate committee probes proposed US #Ebola funding http://t.co/0kKkX2Nrri,11/12/2014 23:03:11,-1.4393824435801572,19.55319836529613
117,TX #Ebola Victim’s Family Cashes In After Hospital Settlement. You LIE! Portray urself a Victim Get Paid BHOs America http://t.co/EnuHYVFD7E,11/12/2014 23:03:06,-5.149617002283301,26.491027102773295
118,RT @MarkMobius: #Ebola hasn’t affected our decision-making process when it comes to investing in Africa or elsewhere. http://t.co/RndtBuBETH,11/12/2014 23:02:46,-5.660186409545018,22.804250812882213
119,RT @YaThinkN: Thank you @antloewenstein about bloody time #Ebola profiteering at expense of qualified NGO was pointed out :( http://t.co/gp…,11/12/2014 23:02:24,-7.2596393498198735,19.985661626406337
120,RT @LukeRussert: #USA media needs 2 b more concerned w 22 vets committing suicide a day &amp; vet unemployment rate than #Ebola or #MH370 http:…,11/12/2014 23:02:12,-5.588414611085375,19.43278293500962
121,RT @JermaineWatkins: This: See... I knew #Ebola was a bigger worldwide threat than they admitted at jump. http://t.co/rtKgzXzwjk,11/12/2014 23:02:11,-8.444978806279188,20.4242353384268
122,RT @HazMedSolutions: There were fewer new cases of #Ebola in the week ended Nov. 4 than in any week the prior 3 months. #nytimes graphic ht…,11/12/2014 23:02:06,-5.384131335252195,20.06058772546007
123,How Ebola healthcare workers get dressed http://t.co/RuZrVz1gih #ebola #health #tech #workplace #economy,11/12/2014 23:02:04,-2.7458618336737466,24.04159841620492
124,#US nurses strike over insufficient #Ebola protections http://t.co/vEwkK2U8p6 http://t.co/UPygTXwkbp,11/12/2014 23:01:42,-3.475300733721528,21.908801308004957
125,MSNBC On Moderator In NH Getting Facts Wron  http://t.co/A1If3hUpQm   #ebola #ebola-outbreak #health #breaking,11/12/2014 23:01:38,-0.9491399654220256,20.803421121453106
126,RT @LukeRussert: #USA media needs 2 b more concerned w 22 vets committing suicide a day &amp; vet unemployment rate than #Ebola or #MH370 http:…,11/12/2014 23:01:23,-5.510774002484655,23.44623139084711
127,"RT @WhySharksMatter: Interesting, some of the symptoms of #Ebola (bleeding from eyes, passing out, vomit) are also symptoms of watching thi…",11/12/2014 23:01:12,-5.1552009837168065,18.169209576170328
128,CDC Disease Detective Describes Chasing Ambulances as Part of #Ebola Response. #virus http://t.co/mUyjgavCzc,11/12/2014 23:01:06,-2.241744636361104,22.72397680581366
129,"Oil Lamps, Mid Terms, and Tasers! New Episode 49! #Election2014 #NFL #NBCBlacklist #Worldseries#RollTide #ebola  http://t.co/IfJdxcL427",11/12/2014 23:01:02,-2.021249262740628,18.059654715008204
130,"YES, YES, YES! \""@PIH: #DrPaulFarmer\'s key principles on the #Ebola response: http://t.co/MJiiJ8k3TD http://t.co/1YtOGHcLGw\"" @Apollos77",11/12/2014 23:00:55,-4.556411763438939,24.3305466990566
131,Hey everyone who was reading #OutbreakChat tweets? You now have #ebola . SURPRISE!,11/12/2014 23:00:54,-2.824861404926141,22.40087467216507
132,RT @RT_com: #US nurses strike over insufficient #Ebola protections http://t.co/iCYbZDlQkv http://t.co/CYku6t0gVU,11/12/2014 23:00:42,-2.4477249710917883,24.126046130445456
133,RT @WHO: #Mali’s Ministry of Health has confirmed the country’s second #Ebola fatal case in a nurse who worked in Bamako http://t.co/oTsqKS…,11/12/2014 23:00:37,-3.050918036816821,23.55939837970577
134,RT @MarkMobius: #Ebola hasn’t affected our decision-making process when it comes to investing in Africa or elsewhere. http://t.co/RndtBuBETH,11/12/2014 23:00:25,-4.9855091625192225,20.01869877782541
135,"RT @Laurie_Garrett: Today @UNDP took over payroll at #Liberia MinHlth. Some got paid for 1st time in 3 mos, but I know 2 #Ebola staff got 1…",11/12/2014 23:00:17,-3.6743622727334264,22.50473493308983
136,"A company is out of #Ebola-virus stuffed animals after selling \""thousands and thousands\"" of them: http://t.co/bxTXZOWfIh",11/12/2014 23:00:15,-4.9277744118868725,24.46817607155266
137,CBS\' Logan quarantined after Ebola report   http://t.co/rfjFafENJi  #ebola #laralogan #southafrica,11/12/2014 23:00:13,-5.342872469355817,22.061919585967658
138,Human testing has sparked an ethical debate over how to study unproven medicines amid the #Ebola outbreak. http://t.co/cnHT5R6zxs,11/12/2014 23:00:11,-4.731128978052647,20.652065372845453
139,"\""@UNICEF: One solution. Meet Aminata, who works at a centre producing chlorine in #Guinea http://t.co/woB3VL2zbq #Ebola\"" @Apollos77",11/12/2014 23:00:11,-1.2262351874968274,20.48635848855411
140,#US doctor released after being cleared of #Ebola   #TNN http://t.co/HBJoF7vMb4,11/12/2014 23:00:04,-3.941413003501911,19.200274243086906
141,.@amapresident has urged Govt to consider deploying AUSMAT teams to join fight against #Ebola in west Africa https://t.co/bUeKP6cEcd #auspol,11/12/2014 23:00:01,-1.9993158119346988,22.6930374852
142,RT @GOPTeens: #Teens: Elect a #Republican Senate -- less #American cases of #Ebola.#Coincidence?,11/12/2014 22:59:51,-2.553869133769897,19.59910012954092
143,They ask you to wear mask at the hospital if you have been out of the country in the past 21 days or if you have a bad cough. #ebola,11/12/2014 22:59:44,-2.085787566917663,16.715211327701702
144,RT @LukeRussert: #USA media needs 2 b more concerned w 22 vets committing suicide a day &amp; vet unemployment rate than #Ebola or #MH370 http:…,11/12/2014 22:59:20,-1.3382891629308165,19.258392189491516
145,RT @LukeRussert: #USA media needs 2 b more concerned w 22 vets committing suicide a day &amp; vet unemployment rate than #Ebola or #MH370 http:…,11/12/2014 22:59:12,0.2990744426182257,18.749829903127857
146,RT @RT_com: #US nurses strike over insufficient #Ebola protections http://t.co/iCYbZDlQkv http://t.co/CYku6t0gVU,11/12/2014 22:59:03,-2.5816408216346267,20.14973709580457
147,RT @GOPTeens: #Teens: Elect a #Republican Senate -- less #American cases of #Ebola.#Coincidence?,11/12/2014 22:58:42,-4.252157337339317,19.147527167244473
148,RT @UNinBrussels: #Ebola: @WHO says experimental vaccine trials in West Africa could begin by January http://t.co/ji5kzOaxr9  #EbolaResponse,11/12/2014 22:58:31,-3.256167962457394,23.257775079731438
149,RT @blacklooks: A history of medical killers in #Africa #Ebola #HIV #poison #sterilisation http://t.co/5YMrdH0j86 cc @ducorwriter V/ @afriq…,11/12/2014 22:58:29,-3.4531484700421577,22.937405260988026
150,Clinical Care of Two Patients with #Ebola Virus Disease in the United States http://t.co/IBMRuL8C8z,11/12/2014 22:58:17,-7.436942568758088,22.01916845677507
